,Neighborhood,Population,White,Black,Hispanic/Latino2,AIAN1,Asian,Mixed Race,Corridor,Latitude,Longitude
0,Academy,"3,006",16.9,54.7,20.5,1.52,4.3,3.5,North,38.6590245,-90.2672934111736
1,Baden,"7,268",6.3,91.8,0.5,0.1,0,1.3,North,38.7097317,-90.2308305
2,Benton Park,"3,532",68.2,25.1,3.2,0.3,1.2,3.8,South,38.5973835,-90.2226208398194
3,Benton Park West,"4,404",28.0,59.6,10.5,0,1.9,5.1,South,38.5973835,-90.2226208398194
4,Bevo Mill,"12,654",74.2,13.8,7.5,0.4,4.6,3.9,South,38.5817232,-90.2669548
5,Botanical Heights,"1,037",20.3,74.4,2.1,0.2,1.7,2.6,Central,38.6186795,-90.2475215083848
6,Boulevard Heights,"8,708",89.5,3.6,3.5,0.3,3.6,2.0,South,38.57137055,-90.2752478820799
7,Carondelet,"8,661",57.3,33.8,7.1,0.6,1.3,3.7,South,38.5561635,-90.2659474
8,Carr Square,"2,774",0.5,98.0,0.5,0.3,0,0.9,North,38.6402567,-90.2035855473081
9,Central West End,"14,473",58.0,28.0,2.7,0.2,11.1,2.2,Central,38.6359989,-90.262513
10,Cheltenham,620,67.3,15.0,3.7,0.2,10.6,5.6,Central,38.7880091,-90.2609796
11,Clayton-Tamm,"2,251",89.0,6.0,2.6,0.2,2.0,2.1,Central,,
12,Clifton Heights,"3,074",90.1,3.9,3.0,0.5,1.9,2.4,South,38.6092187,-90.2862254
13,College Hill,"1,870",3.7,92.7,1.2,0.5,0.6,2.3,North,,
14,Columbus Square,"1,869",4.1,92.9,0.9,0.2,0.6,1.9,North,38.6376299,-90.190522078538
15,Compton Heights,"1,315",71.0,21.3,2.0,0.2,3.9,3.3,South,38.6111672,-90.2346331489883
16,DeBaliviere Place,"3,466",59.0,29.4,3.0,0.2,7.8,2.5,Central,38.6536317,-90.2843226
17,Downtown,"3,721",53.5,37.1,2.9,0.5,5.4,2.3,Central,38.62271045,-90.1907102924424
18,Downtown West,"3,940",56.3,36.9,2.6,0.3,3.7,2.9,Central,,
19,Dutchtown,"15,770",35.6,50.8,9.0,0.3,6.0,3.8,South,38.5803531,-90.2408317
20,Ellendale,"1,575",80.6,11.9,7.3,0.4,0.8,3.5,South,38.6131077,-90.3123373
21,Fairground,"1,793",1.7,97.1,0.5,0.1,0,1.0,North,38.6657219,-90.2216866923594
22,Forest Park Southeast,"2,918",30.1,64.3,2.1,0.2,2.4,2.0,Central,38.63833605,-90.284672240737
23,Fountain Park,"1,484",1.2,84.4,8.5,0,0,4.3,North,38.655443,-90.2598825115876
24,Fox Park,"2,632",32.3,61.2,4.7,0.4,1.2,2.5,South,38.60753185,-90.2259977286
25,Franz Park,"2,442",86.2,7.9,4.3,0.5,2.1,2.5,Central,38.6217369,-90.30317481792
26,The Gate District,"3,546",14.4,82.0,1.1,0.2,1.3,1.4,Central,,
27,Grand Center,"3,562",35.0,56.3,2.3,0,6.5,1.4,Central,,
28,Gravois Park,"5,225",22.4,68.4,8.1,0.4,1.7,3.9,South,38.59217395,-90.2385674037599
29,Greater Ville,"6,189",0.7,97.4,0.7,0.2,0,1.4,North,38.66218635,-90.2298327859495
30,Hamilton Heights,"3,105",1.0,97.4,0.5,0.3,0.1,1.2,North,,
31,The Hill,"2,443",93.7,3.4,1.3,0.2,0.8,1.4,South,38.6268039,-90.1994097
32,Hi-Pointe,"2,196",85.0,6.9,4.0,0.2,4.7,1.9,Central,38.63481345,-90.3066669707056
33,Holly Hills,"3,701",81.2,11.5,5.4,0.1,2.0,2.7,South,38.56777415,-90.2638008049401
34,Hyde Park,"2,668",13.6,84.8,0.9,0,0,1.3,North,38.66178315,-90.2021001532486
35,JeffVanderLou,"5,557",1.3,97.2,0.6,0.1,0,1.2,North,,
36,Kings Oak,180,55.0,38.9,3.9,0,2.2,3.9,Central,,
37,Kingsway East,"3,542",1.4,96.1,1.1,0.1,0.1,2.2,North,38.66825785,-90.2526271628729
38,Kingsway West,"3,441",3.4,94.5,0.8,0.5,0,1.4,North,38.67173005,-90.2593816730036
39,Kosciusko,14,42.9,42.9,0,0,0,14.3,South,38.5849872,-90.2195628
40,Lafayette Square,"2,078",80.5,13.5,3.0,0,2.6,2.6,Central,,
41,LaSalle Park,"1,299",28.3,67.6,1.8,0.2,0.7,3.1,Central,,
42,Lewis Place,"1,673",5.4,94.2,0.9,0.4,0.2,1.2,North,38.6557081,-90.2512611007705
43,Lindenwood Park,"9,486",91.2,4.3,3.1,0.2,1.3,2.2,South,38.59713555,-90.3074074205726
44,Marine Villa,"2,691",37.7,55.4,6.4,0.3,1.4,3.0,South,,
45,Mark Twain,"4,188",1.0,97.8,0.5,0.2,0,0.9,North,,
46,Mark Twain/I-70 Industrial,"1,295",2.4,95.8,1.9,0,0,0.5,North,,
47,McKinley Heights,"1,497",48.3,46.0,2.7,0.2,0.7,4.1,South,,
48,Midtown,"5,652",61.9,25.8,2.8,0.2,9.2,2.0,Central,38.65192285,-90.2228120825476
49,Mount Pleasant,"4,408",43.2,47.1,6.9,0.5,2.4,3.3,South,,
50,Near North Riverfront,553,43.2,55.0,0.2,0.5,0.7,0.4,North,38.659611,-90.1907517353658
51,North Hampton,"7,892",75.8,15.2,4.1,0.3,4.8,2.5,South,,
52,North Point,"3,966",1.2,97.5,0.4,0,0,1.0,North,38.6268039,-90.1994097
53,North Riverfront,937,14.2,71.9,14.1,0,0,0.1,North,38.7429623,-90.1998911806944
54,O’Fallon,"5,791",1.1,96.8,0.9,0.3,0,1.6,North,38.68047825,-90.21890018966
55,Old North St. Louis,"1,916",40.9,50.1,5.7,0.4,2.9,0,North,,
56,Patch,"2,695",71.3,21.2,4.0,0.7,1.3,4.2,South,38.5694176,-90.5888211
57,Peabody Darst Webbe,"2,378",10.3,87.5,0.5,0.1,0.3,1.5,Central,,
58,Penrose,"6,387",0.8,97.2,0.5,0.2,0,1.4,North,38.6268039,-90.1994097
59,Princeton Heights,"7,619",91.8,4.5,3.4,0.2,1.1,1.8,South,,
60,Riverview,304,28.9,68.9,0.3,0.3,1.6,0.3,North,38.7478279,-90.2114995
61,Shaw,"6,811",51.7,41.9,2.3,0.2,1.8,3.6,South,38.6128229,-90.2485101
62,Skinker-DeBaliviere,"4,077",49.8,37.9,3.0,0.4,8.7,2.8,Central,38.6519559,-90.2945397970692
63,Soulard,"3,440",82.6,13.3,2.7,0.2,1.0,2.3,South,38.60322905,-90.2072318335454
64,South Hampton,"6,904",86.4,8.3,3.5,0.2,2.1,2.0,South,,
65,Southwest Garden,"4,885",76.9,16.5,3.4,0.3,3.0,2.4,South,,
66,St. Louis Hills,"7,373",94.4,2.4,2.2,0.2,1.2,1.2,South,38.5869698,-90.2958983291011
67,St. Louis Place,"2,939",7.1,91.7,0.6,0.2,0.3,1.9,North,38.7394188,-90.298701
68,Tiffany,"1,060",10.8,84.1,1.4,0.4,2.3,2.0,Central,38.53491555,-90.3371307144523
69,Tower Grove East,"5,853",45.9,43.9,4.9,0.3,5.3,2.7,South,38.6225517,-90.2662246
70,Tower Grove South,"13,333",54.9,29.7,7.3,0.3,8.6,3.7,South,38.5994313,-90.2546407
71,Vandeventer,"1,682",1.2,95.7,1.2,0.2,0,2.3,North,38.64994665,-90.241445044104
72,The Ville,"1,868",1.2,97.3,0.8,0.2,0,1.3,North,38.6586241,-90.2400103330724
73,Visitation Park,960,5.8,90.4,0.3,0.1,0.4,2.6,North,38.65724345,-90.2755642433303
74,Walnut Park East,"4,130",1.5,96.7,0.8,0.1,0,1.5,North,38.70149795,-90.2492102358438
75,Walnut Park West,"3,349",1.1,97.9,0.8,0,0,0.8,North,38.70149795,-90.2492102358438
76,Wells/Goodfellow,"5,859",0.7,97.5,0.6,0.2,0.2,1.4,North,38.6773973,-90.2720115236442
77,West End,"6,574",8.1,84.9,3.8,0.2,1.5,2.5,North,38.6626845,-90.2856858862126
78,Wydown/Skinker,"1,054",85.7,3.4,3.1,0,7.5,2.7,Central,,
